Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(1) 7%,20,1.02,165.0,1.2,100.2,85%,0.6,0.1,0.05,0.05,12,10,2,1,1,deadlock,babybay
(1) 7%,18,1.27,238.0,1.36,158.8,89%,0.83,0.39,0.28,0.0,15,11,7,5,0,vyse,babybay
(17) 55%,378,1.0,179.8,1.04,121.5,72%,0.66,0.24,0.05,0.08,248,239,91,20,32,tejo,trent
(12) 39%,242,1.03,172.9,1.05,112.4,76%,0.63,0.33,0.06,0.07,152,145,79,14,17,fade,trent
(2) 6%,47,1.14,184.5,1.11,127.6,68%,0.66,0.21,0.04,0.06,31,28,10,2,3,sova,trent
(10) 38%,223,1.06,206.6,1.1,140.2,72%,0.72,0.3,0.09,0.08,161,147,67,21,18,viper,leaf
(4) 15%,92,1.29,262.8,1.28,175.7,73%,0.93,0.16,0.2,0.12,86,67,15,18,11,chamber,leaf
(4) 15%,85,0.79,174.0,0.78,118.2,62%,0.6,0.26,0.09,0.13,51,65,22,8,11,deadlock,leaf
(4) 15%,82,1.01,205.8,1.04,124.6,79%,0.67,0.48,0.05,0.05,55,53,39,4,4,breach,leaf
(2) 8%,43,1.15,206.5,1.27,127.2,81%,0.77,0.35,0.09,0.12,33,26,15,4,5,fade,leaf
(1) 4%,23,1.03,178.0,1.0,115.4,65%,0.65,0.13,0.04,0.04,15,15,3,1,1,cypher,leaf
(1) 4%,17,1.37,174.0,2.4,117.0,94%,0.71,0.29,0.0,0.0,12,5,5,0,0,sage,leaf
(9) 32%,194,1.18,198.9,1.2,128.7,78%,0.7,0.35,0.04,0.06,136,113,67,8,11,viper,johnqt
(5) 18%,108,0.9,157.6,0.79,97.3,73%,0.51,0.38,0.06,0.03,55,70,41,7,3,sage,johnqt
(5) 18%,100,1.08,171.4,1.02,106.3,80%,0.62,0.48,0.07,0.02,62,61,48,7,2,omen,johnqt
(3) 11%,64,0.9,175.3,0.95,112.1,75%,0.66,0.25,0.05,0.06,42,44,16,3,4,tejo,johnqt
(3) 11%,62,1.26,230.7,1.26,147.4,76%,0.87,0.29,0.08,0.05,54,43,18,5,3,cypher,johnqt
(1) 4%,24,0.75,125.0,0.67,90.5,71%,0.42,0.33,0.0,0.04,10,15,8,0,1,astra,johnqt
(1) 4%,23,1.02,143.0,1.08,102.8,83%,0.57,0.22,0.04,0.0,13,12,5,1,0,sova,johnqt
(1) 4%,21,0.77,122.0,0.67,71.1,81%,0.38,0.48,0.0,0.05,8,12,10,0,1,fade,johnqt
(9) 32%,189,1.0,190.3,0.96,120.2,72%,0.65,0.4,0.11,0.11,123,128,75,21,20,fade,n4rrate
(5) 18%,100,1.05,238.8,1.0,157.9,68%,0.77,0.22,0.2,0.14,77,77,22,20,14,raze,n4rrate
(4) 14%,89,0.83,187.5,0.79,133.2,61%,0.64,0.22,0.06,0.1,57,72,20,5,9,sova,n4rrate
(4) 14%,86,0.86,189.5,0.97,125.6,70%,0.71,0.26,0.13,0.2,61,63,22,11,17,neon,n4rrate
(3) 11%,67,0.87,174.0,0.98,119.3,64%,0.69,0.09,0.13,0.27,46,47,6,9,18,waylay,n4rrate
(2) 7%,42,0.79,204.5,0.79,123.0,67%,0.64,0.21,0.26,0.24,27,34,9,11,10,yoru,n4rrate
(1) 4%,23,1.26,234.0,1.36,139.0,87%,0.83,0.3,0.09,0.04,19,14,7,2,1,omen,n4rrate
(8) 30%,184,0.94,207.4,1.0,133.1,68%,0.75,0.18,0.18,0.22,138,138,33,33,40,neon,reduxx
(8) 30%,168,1.07,227.4,1.16,142.5,71%,0.83,0.23,0.17,0.13,139,120,38,29,22,yoru,reduxx
(4) 15%,82,1.19,222.3,1.12,149.0,76%,0.79,0.4,0.16,0.11,65,58,33,13,9,omen,reduxx
(3) 11%,64,1.23,211.3,1.24,143.8,83%,0.72,0.45,0.16,0.02,46,37,29,10,1,astra,reduxx
(3) 11%,62,1.71,337.3,2.24,205.8,79%,1.23,0.11,0.24,0.11,76,34,7,15,7,chamber,reduxx
