,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
519,2024-05-30_FNATIC/Gen.G,2024-05-30,FNATIC,0,0.0,196.8,47.6,49.2,20.0,-1.6,0.0,130.6,28.4,6.8,7.2,-0.4,Gen.G,0.0,196.8,47.6,49.2,20.0,-1.6,0.0,130.6,28.4,6.8,7.2,-0.4
520,2024-05-31_EDward Gaming/Team Heretics,2024-05-31,EDward Gaming,0,0.0,193.0,22.6,29.2,7.4,-6.6,0.0,124.8,29.2,2.6,4.4,-1.8,Team Heretics,0.0,193.0,22.6,29.2,7.4,-6.6,0.0,124.8,29.2,2.6,4.4,-1.8
521,2024-05-31_G2 Esports/Paper Rex,2024-05-31,G2 Esports,1,0.0,212.6,45.8,39.6,20.2,6.2,0.0,139.8,24.2,7.2,5.0,2.2,Paper Rex,0.0,212.6,45.8,39.6,20.2,6.2,0.0,139.8,24.2,7.2,5.0,2.2
522,2024-06-01_EDward Gaming/Paper Rex,2024-06-01,EDward Gaming,0,0.0,192.4,28.8,33.4,10.8,-4.6,0.0,123.4,28.4,5.0,3.6,1.4,Paper Rex,0.0,192.4,28.8,33.4,10.8,-4.6,0.0,123.4,28.4,5.0,3.6,1.4
523,2024-06-01_FNATIC/FUT Esports,2024-06-01,FNATIC,0,0.0,193.4,36.4,39.4,16.4,-3.0,0.0,130.8,24.0,5.0,6.0,-1.0,FUT Esports,0.0,193.4,36.4,39.4,16.4,-3.0,0.0,130.8,24.0,5.0,6.0,-1.0
524,2024-06-02_100 Thieves/Gen.G,2024-06-02,100 Thieves,0,0.0,190.4,29.8,34.4,9.6,-4.6,0.0,125.4,26.4,4.0,5.2,-1.2,Gen.G,0.0,190.4,29.8,34.4,9.6,-4.6,0.0,125.4,26.4,4.0,5.2,-1.2
525,2024-06-02_G2 Esports/Team Heretics,2024-06-02,G2 Esports,1,0.0,203.2,43.2,40.8,22.2,2.4,0.0,129.6,20.8,5.8,6.4,-0.6,Team Heretics,0.0,203.2,43.2,40.8,22.2,2.4,0.0,129.6,20.8,5.8,6.4,-0.6
526,2024-06-03_100 Thieves/Paper Rex,2024-06-03,100 Thieves,1,0.0,211.8,49.4,49.4,18.6,0.0,0.0,142.0,31.6,5.8,7.6,-1.8,Paper Rex,0.0,211.8,49.4,49.4,18.6,0.0,0.0,142.0,31.6,5.8,7.6,-1.8
527,2024-06-03_FUT Esports/Team Heretics,2024-06-03,FUT Esports,0,0.0,173.6,21.8,30.0,11.4,-8.2,0.0,118.2,27.4,2.0,5.4,-3.4,Team Heretics,0.0,173.6,21.8,30.0,11.4,-8.2,0.0,118.2,27.4,2.0,5.4,-3.4
528,2024-06-07_100 Thieves/Team Heretics,2024-06-07,100 Thieves,0,0.0,158.0,24.0,32.4,9.0,-8.4,0.0,109.2,20.8,3.8,4.6,-0.8,Team Heretics,0.0,158.0,24.0,32.4,9.0,-8.4,0.0,109.2,20.8,3.8,4.6,-0.8
529,2024-06-07_G2 Esports/Gen.G,2024-06-07,G2 Esports,0,0.0,190.4,27.8,34.4,10.0,-6.6,0.0,126.4,24.4,4.0,4.8,-0.8,Gen.G,0.0,190.4,27.8,34.4,10.0,-6.6,0.0,126.4,24.4,4.0,4.8,-0.8
530,2024-06-08_G2 Esports/Team Heretics,2024-06-08,G2 Esports,0,0.0,172.2,31.4,44.6,15.4,-13.2,0.0,115.4,23.0,3.2,7.8,-4.6,Team Heretics,0.0,172.2,31.4,44.6,15.4,-13.2,0.0,115.4,23.0,3.2,7.8,-4.6
531,2024-06-09_Gen.G/Team Heretics,2024-06-09,Gen.G,1,0.0,209.2,70.6,60.0,28.4,10.6,0.0,135.4,24.4,10.2,9.0,1.2,Team Heretics,0.0,209.2,70.6,60.0,28.4,10.6,0.0,135.4,24.4,10.2,9.0,1.2
532,2024-06-15_BLEED/Team Secret,2024-06-15,BLEED,0,0.8280000000000001,185.2,40.8,45.0,21.0,-4.2,71.2,121.0,25.4,5.8,7.2,-1.4,Team Secret,0.8280000000000001,185.2,40.8,45.0,21.0,-4.2,71.2,121.0,25.4,5.8,7.2,-1.4
533,2024-06-15_DRX/ZETA DIVISION,2024-06-15,DRX,1,1.152,225.8,42.8,32.6,16.4,10.2,78.2,147.4,29.4,5.2,5.6,-0.4,ZETA DIVISION,1.152,225.8,42.8,32.6,16.4,10.2,78.2,147.4,29.4,5.2,5.6,-0.4
534,2024-06-15_JDG Esports/Titan Esports Club,2024-06-15,JDG Esports,1,0.0,199.0,35.2,34.2,13.6,1.0,0.0,134.0,30.2,5.2,4.8,0.4,Titan Esports Club,0.0,199.0,35.2,34.2,13.6,1.0,0.0,134.0,30.2,5.2,4.8,0.4
535,2024-06-16_All Gamers/TYLOO,2024-06-16,All Gamers,1,0.0,224.6,32.0,23.6,12.2,8.4,0.0,139.0,25.8,4.8,3.0,1.8,TYLOO,0.0,224.6,32.0,23.6,12.2,8.4,0.0,139.0,25.8,4.8,3.0,1.8
536,2024-06-16_Bilibili Gaming/Wolves Esports,2024-06-16,Bilibili Gaming,1,0.0,219.4,30.6,24.6,14.0,6.0,0.0,146.0,26.6,5.0,2.6,2.4,Wolves Esports,0.0,219.4,30.6,24.6,14.0,6.0,0.0,146.0,26.6,5.0,2.6,2.4
537,2024-06-16_Gen.G/T1,2024-06-16,Gen.G,1,0.932,186.4,44.4,49.6,20.2,-5.2,70.6,122.6,29.0,6.6,7.0,-0.4,T1,0.932,186.4,44.4,49.6,20.2,-5.2,70.6,122.6,29.0,6.6,7.0,-0.4
